weblocation,todownload,localname,layername
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd0_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gdd0_cell.tif,egv_030
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd10_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gdd10_cell.tif,egv_031
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdd5_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gdd5_cell.tif,egv_032
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd0_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gddlgd0_cell.tif,egv_033
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd10_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gddlgd10_cell.tif,egv_034
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gddlgd5_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gddlgd5_cell.tif,egv_035
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdgfgd0_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gdgfgd0_cell.tif,egv_036
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdgfgd10_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gdgfgd10_cell.tif,egv_037
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gdgfgd5_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gdgfgd5_cell.tif,egv_038
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gsl_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gsl_cell.tif,egv_039
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gsp_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gsp_cell.tif,egv_040
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_gst_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-gst_cell.tif,egv_041
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_hurs_max_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-hurs-max_cell.tif,egv_042
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_hurs_mean_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-hurs-mean_cell.tif,egv_043
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_hurs_min_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-hurs-min_cell.tif,egv_044
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_hurs_range_1981-2010_V.2.1.tif ,1,Climate_CHELSAv2.1-hurs-range_cell.tif,egv_045
https://os.zhdk.cloud.switch.ch/chelsav2/GLOBAL/climatologies/1981-2010/bio/CHELSA_kg0_1981-2010_V.2.1.tif ,0,,
